Tôi tên là Hải | Nói tên 
Em tên Thảo | Nói tên 
Mình là Minh tên | Nói tên 
Chị tên Linh đây | Nói tên 
Anh tên Tuấn | Nói tên 
Tên mình là Đức | Nói tên 
Bạn tên gì vậy? | Nói tên 
Xin chào, mình là Ngọc | Nói tên 
Gọi mình là Trang | Nói tên 
Hôm nay, tôi muốn giới thiệu, tôi tên Nam | Nói tên 
Tôi là Lan | Nói tên 
Cậu tên là Hiếu đúng không? | Nói tên 
Tên của tôi là Anh | Nói tên 
Chào các bạn, mình tên Đông | Nói tên 
Mình tên Ngân đây | Nói tên 
Bạn biết tên tôi không? | Nói tên 
Mọi người, tôi tên Khánh | Nói tên 
Tôi tên là Phương đây | Nói tên 
Gọi tôi là Bảo | Nói tên 
Cứ gọi mình là An | Nói tên 
An là tên của mình | Nói tên 
Tên An | Nói tên 
Anh là An nha em | Nói tên 
Mình là An | Nói tên 
An nha | Nói tên 
Mình là Son Goku | Nói tên 
Em tên An | Nói tên 
em là Thiên An | Nói tên 
Mình là Trang | Nói tên 
Anh tên là Hải | Nói tên 
Tớ là Linh | Nói tên 
Chị là Lan | Nói tên 
Bạn gọi tớ là Tuấn | Nói tên 
Mình là Ngọc Anh | Nói tên 
Em tên là Đức | Nói tên 
Anh là Phong | Nói tên 
Cô là Thảo | Nói tên 
Bạn có thể gọi tôi là Khánh | Nói tên 
Anh tên Thành | Nói tên 
Chị là Diệu và chị đã 25 tuổi | Nói tên 
Mình là Lan, mình ở Hà Nội | Nói tên 
Tôi tên Hải và làm việc tại TP.HCM | Nói tên 
Em là Bình, em sinh năm 1995 | Nói tên 
Mình là Thu và mình sống ở Sài Gòn | Nói tên 
Tên tôi là Trang và tôi là sinh viên | Nói tên 
Mình tên Hiếu, mình ở Hải Phòng | Nói tên 
Anh tên Tú, anh đến từ Đà Nẵng | Nói tên 
Chị là Linh và chị sinh năm 1990 | Nói tên 
Tôi tên Hạnh, tôi đang làm việc ở Hà Tĩnh | Nói tên 
Em là Minh và em là học sinh | Nói tên 
Mình tên Phương, mình làm việc tại Cần Thơ | Nói tên 
Anh tên Dương và anh đã 30 tuổi | Nói tên 
Tôi là Thùy và tôi đến từ Nha Trang | Nói tên 
Mình tên Hoàng, mình sinh năm 1988 | Nói tên 
Chị là Lan, chị đang sống ở Huế | Nói tên 
Anh tên Việt và anh làm việc ở Đồng Nai | Nói tên 
Tôi là Quân và tôi đến từ Quảng Ninh | Nói tên 
Em tên Hiền, em đang học tại Đà Lạt | Nói tên 
Mình là Linh | Nói tên 
Anh ấy tên là Khánh | Nói tên 
Tôi là Hải Anh | Nói tên 
Em tên là Trang | Nói tên 
Mình là Tuấn Anh | Nói tên 
Bạn có biết, mình tên là Thảo không? | Nói tên 
Anh ấy tên là Duy | Nói tên 
Mình là Quỳnh Anh | Nói tên 
Cô ấy tên là Linh Chi | Nói tên 
Mình là Hoàng Nam | Nói tên 
Tôi tên là Đức Anh | Nói tên 
Em ấy tên là Ngọc Trâm | Nói tên 
Tôi là Phương Thảo | Nói tên 
Mình tên là Quang Huy | Nói tên 
Cô ấy tên là Mai Anh | Nói tên 
Anh ấy tên là Tuấn | Nói tên 
Mình là Bảo An | Nói tên 
Tôi tên là Hồng Ngọc | Nói tên 
Cậu ấy tên là Long | Nói tên 
Gọi anh là Hải | Nói tên 
Gọi cô ấy là Linh | Nói tên 
Tôi là Phương, hãy gọi tôi là Phương | Nói tên 
Hãy gọi tôi là Đức | Nói tên 
Anh ấy là Thành, gọi anh ấy là Thành | Nói tên 
Gọi tôi là Hiền | Nói tên 
Cô ấy tên là Mai, bạn có thể gọi cô ấy là Mai | Nói tên 
Xin đừng gọi tôi là Trang | Nói tên 
Tôi là Minh, hãy gọi tôi là Minh | Nói tên 
Đừng gọi tôi là Nam | Nói tên 
Gọi anh là Tiến | Nói tên 
Hãy gọi cô ấy là Thảo | Nói tên 
Tên tôi là Tuấn, bạn có thể gọi tôi là Tuấn | Nói tên 
Gọi tôi là Bảo | Nói tên 
Anh ấy tên là Quang, gọi anh ấy là Quang | Nói tên 
Cô ấy là Ngọc, hãy gọi cô ấy là Ngọc | Nói tên 
Hãy gọi tôi là Thắng | Nói tên 
Xin đừng gọi tôi là Linh | Nói tên 
Gọi tôi là Hương | Nói tên 
Tên tôi là An, hãy gọi tôi là An | Nói tên 
Cô ấy tên là Phượng, bạn có thể gọi cô ấy là Phượng | Nói tên 
Gọi anh là Tuân | Nói tên 
Xin đừng gọi tôi là Dũng | Nói tên 
Tên Anh | Nói tên 
Tên Linh | Nói tên 
Mình là Hải | Nói tên 
Gọi mình là Phương | Nói tên 
Tên tôi là Tuấn | Nói tên 
Gặp em là Hương | Nói tên 
Mình là Đức | Nói tên 
Tên tôi là Thảo | Nói tên 
Gọi mình là Khánh | Nói tên 
Mình là Bảo Anh | Nói tên 
Gọi tôi là Nam | Nói tên 
Tên mình là Ngọc | Nói tên 
Tôi tên là Quang | Nói tên 
Mình là Hà | Nói tên 
Tên tôi là Linh Chi | Nói tên 
Tôi là Xuân | Nói tên 
Mình tên là Trang | Nói tên 
Gọi mình là Đạt | Nói tên 
Mình là Diệu | Nói tên 
Tên tôi là Khôi | Nói tên 
tôi tên An | Nói tên 
Thien | Nói tên 
Tôi tên là An | Nói tên 
Tôi tên là An | Nói tên 
Tôi tên An | Nói tên 
Tôi tên An | Nói tên 
tôi tên Vỹ nha | Nói tên 
Bác sĩ, nha khoa của bạn cung cấp những dịch vụ nào | Yêu cầu liệt kê dịch vụ nha khoa 
Nha khoa của tôi cung cấp những dịch vụ nào | Yêu cầu liệt kê dịch vụ nha khoa 
Xin hỏi, nha khoa có những loại dịch vụ nào được cung cấp? | Yêu cầu liệt kê dịch vụ nha khoa 
Cho tôi biết về các dịch vụ nha khoa mà bạn cung cấp, được không? | Yêu cầu liệt kê dịch vụ nha khoa 
Tôi muốn biết về các dịch vụ chăm sóc răng tại nha khoa của bạn. | Yêu cầu liệt kê dịch vụ nha khoa 
Dịch vụ nha khoa ở đây bao gồm những gì? | Yêu cầu liệt kê dịch vụ nha khoa 
Có thể tôi biết về các loại dịch vụ nha khoa đặc biệt mà bạn có không? | Yêu cầu liệt kê dịch vụ nha khoa 
Nha khoa của bạn có những gói dịch vụ nào dành cho bệnh nhân mới không? | Yêu cầu liệt kê dịch vụ nha khoa 
Cho tôi xin thông tin chi tiết về các dịch vụ chăm sóc răng mà bạn cung cấp. | Yêu cầu liệt kê dịch vụ nha khoa 
Tôi muốn tìm hiểu về các dịch vụ nâng cao răng tại nha khoa của bạn. | Yêu cầu liệt kê dịch vụ nha khoa 
